iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1],gamma[2],beta[2],phi[2],gamma[3],beta[3],phi[3]
1,-14.67480481415987,0.5989502135364608,0.597944064448373,0.6314008416885108,0.7216002653599457,0.7449253400970142,0.631147881094887,0.597944064448373,0.597944064448373,0.7648480948498416,0.597944064448373,0.597944064448373,0.7185331181622562
2,-23.27866836823523,0.5991695036317936,0.5514324700958328,0.5996724476588035,0.6729952714327674,0.6497215787260144,0.6165071419849802,0.5969793560804767,0.6017757230822035,0.709089982098163,0.6226560663217922,0.5662043974861181,0.6883079024818253
3,-24.163854494690895,0.5995880613412945,0.4961394996558066,0.5821049394078949,0.6269635472166517,0.5965276255595691,0.621137032976779,0.5852628873853162,0.5877443766174557,0.6965474147083078,0.6379780091166467,0.5650720215854356,0.7011305337223086
4,-25.3549532443285,0.6008260945227857,0.5071153035881133,0.5890350811470305,0.6278424114093284,0.6085839616560433,0.6050346518817139,0.587638413385296,0.5989265948315752,0.7197716386534947,0.6320343487272957,0.5729957454622107,0.710934784677385
5,-25.80519187450409,0.5998936215155265,0.5000086565276707,0.5870711344118787,0.6204010369789427,0.609196639519463,0.5949998422401303,0.5784784054570988,0.6053259191514158,0.7257121400648813,0.6334872150610246,0.5847374532862925,0.7160863008385527
6,-26.311287194490433,0.6039496909367978,0.47669773818990535,0.5739694283181614,0.6081169985240701,0.6018803196804553,0.5794721388650241,0.5691565215830671,0.6230187955992994,0.7346445680987347,0.6366373985061224,0.6036530498949797,0.7262955643168167
7,-26.42693755030632,0.6048954225526347,0.46554763040204616,0.5619773713563817,0.5990471565881341,0.59637301391543,0.5706193415726482,0.5666159486982063,0.6333941916258007,0.7346948206240502,0.6366697820861776,0.6144879221034748,0.7344988267275149
8,-26.53474035859108,0.6056381650017372,0.46014429819702063,0.5518060034604134,0.5974451460690637,0.5981994288806378,0.5646476883331335,0.5695840935126443,0.6451855645068557,0.7253397520749952,0.6381345884068484,0.6136942248134741,0.7339094087361206
9,-26.657431334257126,0.604131451170429,0.4615373021874712,0.5438853738944351,0.6057000068367009,0.6052479817208606,0.5672479910434339,0.5754574550410918,0.6470483064722221,0.7239044863495744,0.6379006426316481,0.6079414122236296,0.737830965145677
10,-26.760840386152267,0.6009170706759442,0.45897618772390714,0.5261054184205581,0.6143605959438487,0.6152421019355343,0.5688298669272919,0.5874825578846185,0.6549655736884508,0.7183109831121178,0.6366429716630756,0.5995201460883609,0.7460899424654966
11,-27.20148068666458,0.5938556976931786,0.4525649179533637,0.510151642531541,0.6093939993436188,0.6549850400196079,0.6055558839265619,0.6256907391756935,0.6751221569113036,0.6959056937616506,0.6082249372734971,0.5878109500087098,0.7700457332081396
12,-27.320813447237015,0.5941837489656219,0.45355137397784884,0.5172651723029649,0.6105931130488917,0.6482825620654432,0.5963776126792089,0.6196433057317664,0.6760166907984104,0.6998057713952817,0.6124152216661405,0.5881794439518835,0.761707168731756
13,-27.369496285915375,0.5932911060349754,0.45672220310838657,0.5159649599961853,0.6114087260029606,0.658467654913339,0.6023260864714794,0.6299976950028199,0.6860631428517365,0.6923261984625794,0.6083009894196044,0.5808369859124588,0.7615854195286192
14,-27.393031746149063,0.5942655973370292,0.4556257366835422,0.5194315825699158,0.6069335537785824,0.6595788699189896,0.6070973244650938,0.6327948254840832,0.6868464334244347,0.6913234492727025,0.6058493489061768,0.5793390568960465,0.7620674474661202
15,-27.41460344195366,0.593728392250601,0.4503426811879249,0.5158870500991991,0.6045864887722562,0.6681392367607824,0.6131149182646808,0.641752610143874,0.6917884625627837,0.687712313044991,0.602337272822188,0.574274672729023,0.766989646043009
16,-27.415683299303055,0.5936205393684181,0.448849968175024,0.5147416549968717,0.6041279618027383,0.6697737188948585,0.614137249682857,0.6436020780397816,0.6929681552761385,0.687116315156268,0.6017195983857793,0.5732472526685402,0.7682153717474085
17,-27.43023583292961,0.5938256124655669,0.44263228807436605,0.512768432223562,0.6044722880221274,0.67457697617755,0.6173873504240537,0.6486729339808227,0.6940649166168189,0.6871489026138543,0.6013405319872188,0.5694674019162378,0.771421775386199
18,-27.449092596769333,0.5936910091912847,0.4383130258159575,0.5112644526085135,0.6080335222921931,0.6799858347488351,0.6205675080796081,0.6566510930950912,0.6955904789020614,0.6865483975648025,0.6008106105846466,0.5627417686544798,0.7744915371841362
19,-27.460572004318237,0.5944220100884162,0.43872939293950286,0.5088290695120519,0.6121563421266579,0.6828029966366446,0.621528144855212,0.6594920861673708,0.6981361915202914,0.6882903343912179,0.6005486419901837,0.5602281712698386,0.7756641940023403
20,-27.466019570827484,0.5949544717114651,0.43849380427840695,0.5086841693425918,0.6131824881834295,0.6852279789814623,0.6239441887546268,0.6620685939889424,0.701893531423372,0.6880678118924061,0.5992141407851334,0.5577651361237048,0.7757607666722008
21,-27.47127515077591,0.5948133829704775,0.4406837059522155,0.5101497924682238,0.6112701351845642,0.6819513218243755,0.623250813026586,0.6582284920118459,0.7012033315805084,0.6881654747074784,0.5996095819903791,0.5609805756003814,0.7739974816046356
22,-27.472239702939987,0.5948134694315789,0.44082998983512167,0.5106310634264601,0.6107898697272705,0.681167036103209,0.6230172917607535,0.657338443212125,0.700932656621944,0.6885363327986558,0.5997370692399688,0.5615762965015529,0.773887837183888
23,-27.47544065117836,0.5949224671663826,0.4405295207911232,0.5109411116602206,0.611048469898102,0.680544629171415,0.623221868213602,0.6569064570491657,0.700834613414873,0.6892382934814874,0.6001406321664046,0.5617175681155552,0.7736490423285366
24,-27.478301137685776,0.5951748946996831,0.4397480420092555,0.5123186076269854,0.6112539957806092,0.6776499111126071,0.6232178338755773,0.6545643486779346,0.700209361545083,0.6912420272652825,0.6015726484393158,0.56287327177041,0.77240673059112
25,-27.478333830833435,0.5951785757370645,0.43974936545860493,0.5123329490051904,0.6112540644216466,0.677620505361925,0.6232180146175202,0.6545379153348274,0.7002076308694457,0.691261115194671,0.6015840695734721,0.5628890300864472,0.7723916256062018
26,-27.480502784252167,0.5954578490315575,0.4395154456374207,0.5120909941522817,0.6112345066150398,0.6778144378325259,0.6236843728720808,0.6545092618552762,0.7011993219413265,0.6915714418739475,0.6014442723796753,0.5629692725030822,0.7722088093906231
27,-27.48281592130661,0.5966784465007986,0.43816811844641046,0.5110774289169221,0.6111107089286416,0.6786635176759032,0.6259457438965847,0.6543908789656979,0.705562118492713,0.6930439998035566,0.6009036623301479,0.5632644949388603,0.7714760368101011
28,-27.4833202958107,0.5975374603607508,0.43682840619987473,0.5109025569565193,0.6111138862570171,0.6786126693910125,0.6269822577537122,0.6543759847616284,0.7070281974315425,0.6943310258274344,0.6010800714970231,0.5636404064631451,0.770995405195392
29,-27.48703572154045,0.5974026790021809,0.43707919957737906,0.5113152292035545,0.6113592479312611,0.6780608111926799,0.626650245156293,0.6548188508200273,0.7061637692274596,0.6938345419103558,0.6011382645635517,0.5636362660584985,0.7713228725422933
30,-27.4880268573761,0.5971934700003111,0.437195800363746,0.5128386055620091,0.6129620295922142,0.6749327151176132,0.6254631819236254,0.6570485615427331,0.7023569512206171,0.6927997951029599,0.6018009171208987,0.5642274218614513,0.7729431586270173
31,-27.49817183613777,0.5979128679411576,0.4364605732514878,0.5127087736128612,0.613201606610672,0.6757542964658001,0.6263023222828306,0.6565390570827335,0.7054351298493475,0.6936953023715811,0.6018117680536677,0.5648779837422587,0.7721582440603009
32,-27.50467163324356,0.5982470581377893,0.43555105510111974,0.5133873375275639,0.6141101311306973,0.6761091929520844,0.6270014397775386,0.6564522978263357,0.709106642720974,0.6942711668486033,0.6017971396863302,0.5675153674524868,0.7712893643140847
33,-27.506259351968765,0.5987359038629603,0.4347628852165923,0.5135596765852141,0.6144772807124274,0.67594590277641,0.6279030250477158,0.6568424777836863,0.7113839662403458,0.6949639771238731,0.6017380276841958,0.5686763673825639,0.7710172216654454
34,-27.51144340634346,0.6005639863602978,0.43209354215255635,0.5145814274638347,0.616607991311016,0.6741889581274167,0.6303872012784216,0.658805603246424,0.7178105005727856,0.697044936626141,0.6020256375609089,0.572588111716377,0.7705809821535761
35,-27.520950973033905,0.6040442697853416,0.42724973837566055,0.5155321629195491,0.6200382164272027,0.6713405142274129,0.6357707823837153,0.6625039056317398,0.7269555799402803,0.7011999363339406,0.6026251307747954,0.5774566499160926,0.7699207888748872
36,-27.536082357168198,0.607088447605784,0.42245806110470085,0.5190747737975493,0.6251680994485587,0.6680042578107219,0.63998333764209,0.6700868995835565,0.7354027131175931,0.7052861778695568,0.6046296915595956,0.583885324183632,0.7713492246766773
37,-27.54401457309723,0.6083845776855172,0.4198639803259988,0.5219943995864176,0.6287831139353435,0.6657130028213022,0.6426339803633523,0.6745183741700937,0.739530168516475,0.7085582806732493,0.6059972813003434,0.5876897083037562,0.7721774330093638
38,-27.580284148454666,0.6102344495402559,0.4188421096692316,0.5251584401683377,0.6341498990819423,0.6657600979279802,0.6464851768258374,0.6775769155123641,0.7414581253137871,0.713046546756381,0.6075007491445183,0.591558335883305,0.7747665179447187
39,-27.605595231056213,0.6172202311050526,0.4131005001794976,0.5340020240468263,0.6472059001583043,0.6665777179474902,0.6570298260785511,0.6829922903580687,0.7522999282828473,0.7244340724321553,0.610899530196654,0.6037949220741641,0.7795792859839654
40,-27.629397600889206,0.6144694410853507,0.41746398970539816,0.5301626395435675,0.6450766353673902,0.6732938280828806,0.6495652328503861,0.6776301049372162,0.7436727076689433,0.7244287477156043,0.6097366164428172,0.6031684752378231,0.7794072428393468
41,-27.63957080245018,0.6150589652170273,0.4156583190938454,0.5277773599240313,0.6422307959769048,0.670452554692737,0.6497948309236513,0.6784885017635351,0.7472548469260091,0.7230667816287297,0.6095498281344568,0.6020891019535903,0.7775600489001403
42,-27.640665858983994,0.6150757068878341,0.41579422058431825,0.5280633517756956,0.6417309463191333,0.670278250975266,0.649056231488384,0.6788650258179569,0.7466781493488104,0.7228313004897803,0.6093488341236514,0.6012316696850087,0.7774656278401161
43,-27.646543473005295,0.6174615148675784,0.4145824587707096,0.5327587799447389,0.6465423480431005,0.6714461290052071,0.6508304944098989,0.6818931441392468,0.7485533766043421,0.726384969011326,0.609937686020653,0.6035784316694175,0.7794971163007507
44,-27.646543473005295,0.6174615148678431,0.414582458770538,0.532758779945225,0.6465423480435907,0.6714461290052723,0.6508304944101294,0.6818931441396074,0.7485533766046429,0.7263849690117182,0.6099376860207273,0.6035784316697203,0.7794971163009516
