iter,energy,gamma[0],beta[0],phi[0],gamma[1],beta[1],phi[1]
1,-19.068878307938576,0.5981543732693094,0.5973798569350335,0.7512393048485537,0.7022831827039042,0.5973798569350335,0.6335248558548583
2,-21.551698230206966,0.5988022922035656,0.5613444535559783,0.8018784493204718,0.7400013847811788,0.59377572272365,0.6580205983918096
3,-25.920294739305973,0.5952442904622216,0.4624625383232153,0.7701157011701816,0.7527838973952441,0.570688703047615,0.6966117638935032
4,-26.54186660051346,0.5966462158722048,0.4751358760827482,0.7564533600504015,0.7464533839687219,0.5445721411545443,0.687916478726778
5,-26.6144966930151,0.5963812772366912,0.47095702315758214,0.7652465514972274,0.7546030414914979,0.5331795794200705,0.6892734099065403
6,-26.668904781341553,0.595883947507342,0.4627936538928195,0.7633753711219744,0.7530936949852195,0.5269124003087221,0.686687001212891
7,-26.673552244901657,0.5879370225723891,0.3894974230862055,0.7594343175406544,0.7523508923874899,0.47818288238743667,0.6379433476234867
8,-26.982591807842255,0.5883454511143023,0.38307902074058,0.7608467051587332,0.7436153768891076,0.4638204974074751,0.6174410190414017
9,-27.2279851436615,0.5831729195852099,0.39967269440932723,0.7688104914437539,0.7289438656463331,0.457727581051045,0.6058120955496781
10,-27.304540932178497,0.5796282690348752,0.38064200593136843,0.7726196893411478,0.7209904981155811,0.446051896311874,0.5825679047298999
11,-27.306946337223053,0.5810448293830214,0.3845354562485989,0.7732148736654113,0.7224168451126568,0.44923029506948725,0.5869855808793272
12,-27.306951642036438,0.5810620353060987,0.38459448911466004,0.7732216675262561,0.7224345192950741,0.44928201255940864,0.5870488549466263
13,-27.307448357343674,0.5815175579040586,0.38629365350945294,0.7740446626772525,0.7224105793505288,0.45086692100539294,0.5877752640828254
14,-27.30854842066765,0.5808840709929498,0.38573072527972,0.7763961633055362,0.7236825195413148,0.4499418032463412,0.5874639473188614
15,-27.308672428131104,0.5810842174903491,0.385675380142266,0.7760939264528584,0.7235384640133268,0.45018857057106426,0.5876882160983344
16,-27.30913856625557,0.5812374699321734,0.38581634704801576,0.7754783299464416,0.7233786858495677,0.4502700178125616,0.5877359287453752
17,-27.309261560440063,0.5812262286502695,0.3858602012953723,0.7753000708930586,0.723232136273678,0.45022398328346497,0.5876653910547472
18,-27.309267729520798,0.5812045036448076,0.38589110081406586,0.775106873231533,0.7230702780264698,0.4501503449741796,0.587575834506485
19,-27.309288561344147,0.581205362877358,0.38589842627475485,0.7750944227600283,0.723060012611569,0.4501449714181662,0.5875713784975669
20,-27.309303760528564,0.5812082028192804,0.38592768931025656,0.7750131022888624,0.7230013580564624,0.450109869394851,0.5875431311251298
21,-27.309308290481567,0.5812110544973792,0.3859167256185757,0.774973401405092,0.7229736330385361,0.4500849790700492,0.5875342642085626
22,-27.309332460165024,0.5812096696413205,0.38592139898610844,0.7749685180472963,0.7229663278370987,0.45007811421045735,0.5875279399819331
23,-27.309369385242462,0.5811731826727254,0.3858055982756422,0.7748674901222227,0.7229888840982426,0.4499941801982968,0.5874483689596425
24,-27.309493869543076,0.5810460206215649,0.38537782691426187,0.7743985598040025,0.7229384514225502,0.4496678998595491,0.5870851194317719
25,-27.309503585100174,0.5809034869235516,0.3849034833004254,0.773969525115149,0.7229926593118162,0.4493726515409441,0.5867071361265629
26,-27.30953347682953,0.5809034833476406,0.38490347094652944,0.7739695143012175,0.7229926609639583,0.4493726439157887,0.5867071264887197
27,-27.30960163474083,0.5808961777515326,0.3848583228459684,0.7739963633810382,0.7230653013775579,0.4493893677085016,0.5866921992761583
28,-27.310161590576172,0.580762094845358,0.3841918083300291,0.7744989540521291,0.7240951482572306,0.449708166848237,0.5864810559072965
29,-27.310174971818924,0.5807852971932888,0.3843116321177777,0.7744104055760421,0.7239061085350318,0.44964641031419017,0.5865212312659136
30,-27.310217410326004,0.5807780954914737,0.384315255190076,0.7743964876385115,0.7238914045748651,0.44960625068175736,0.586528472827926
31,-27.310260385274887,0.5807780572475266,0.38431445914816875,0.7743974140186987,0.7238929616013964,0.44960780088530644,0.5865280239468789
32,-27.310260385274887,0.5807780572475223,0.3843144591475057,0.7743974140196447,0.7238929616029351,0.4496078008873015,0.5865280239463464
