iter,energy,gamma[0],beta[0],gamma[1],beta[1],gamma[2],beta[2],gamma[3],beta[3],gamma[4],beta[4],gamma[5],beta[5]
1,-15.354004621505737,0.597751696761607,0.5960773374525875,0.5960773374525875,0.6492414607292394,0.8052632482493449,1.0326073279455186,1.222060057357435,0.7345201254227018,1.0603069064836441,0.9012645899259122,0.5960773374525875,0.8460584892994695
2,-16.82203520834446,0.5980673558174325,0.5747581918886394,0.5765281167974192,0.631279554255071,0.8109026491853812,1.0096303298152456,1.2517398089721288,0.746492286301338,1.0907883658167727,0.9137698379460539,0.632424904219443,0.8643322841942466
3,-19.869654566049576,0.5982344022416066,0.567693267368678,0.5699954322950366,0.6204397753350432,0.8012388588106805,0.9741148363382117,1.2231380218057555,0.7421437087367664,1.076079945895961,0.9002978164949786,0.6452110189030764,0.8573678994119449
4,-22.64697554707527,0.5992456255222426,0.5662801661821485,0.5694941825178524,0.6080572681371131,0.7913328401103454,0.937489400873302,1.1967097448160364,0.7370763619942314,1.0804322523087708,0.8772355491622439,0.6451214569134766,0.8509288067025411
5,-24.580953538417816,0.5991689362502661,0.5703138063552298,0.574125857620004,0.6025440581183558,0.7933738412109502,0.9162284090664027,1.1844013047128035,0.7311540289405954,1.1141033789938373,0.8533371079405409,0.6373807384674111,0.847569003879206
6,-26.25197520852089,0.5985786597646128,0.5726899134788536,0.5777656342837245,0.6081847724420362,0.807844595731749,0.9236966146889369,1.1997939491116958,0.72917091852423,1.1355331217907423,0.8493841794673156,0.6333535195491137,0.8497239874928291
7,-26.949814200401306,0.5972743558959076,0.5668118674242607,0.5747648219918691,0.6047668128957414,0.8267980300398203,0.9051750505457037,1.2169832571951151,0.726989105713192,1.1763516057976122,0.8381121198252734,0.647116027072334,0.8581525642829093
8,-27.260156571865082,0.5996143238807498,0.5672602396937135,0.5745698569295654,0.6062470273198219,0.8237758579499411,0.9030598162035122,1.2123409213219403,0.7254229056112176,1.1634250085209887,0.8358757144200984,0.6525791865314203,0.8575995431643202
9,-27.34226906299591,0.6005283871017072,0.5664412642139863,0.5744287926838667,0.6072059042449983,0.8255486364545749,0.8992922495110538,1.2108200714384085,0.7229061336003605,1.1639320395674984,0.8314650157498926,0.6583159638747257,0.8617960305615897
10,-27.425851613283157,0.6001564986912338,0.5663754522097093,0.5759118579855861,0.6102907343823386,0.8292908710433037,0.8943338372168063,1.210692958742809,0.7159282418796611,1.1585151859221097,0.8221396539594148,0.6710330634130663,0.8735213283386583
11,-27.484052062034607,0.6003236956642404,0.5670343861717285,0.5765072311360875,0.6096436748453247,0.8319443184681673,0.8941794996286649,1.2134902141189619,0.7148587843724458,1.1620372121343359,0.8184340608371504,0.6705143976333721,0.8751792351738753
12,-27.48454663157463,0.6004947126969352,0.5671100133051558,0.5764953422673337,0.6096676144782305,0.8321989828465329,0.8942807118588546,1.2139880324653594,0.7147656532158777,1.1624679820974895,0.8184767167058767,0.6705732670135609,0.8754882521785841
13,-27.485039710998535,0.6007149676461476,0.567207528119903,0.5765175949834012,0.6097181519587204,0.8327161683972045,0.8942266646098317,1.214752485111354,0.7144579650433982,1.163126254293092,0.8181955718389146,0.6709378842235644,0.8762378715432017
14,-27.48508009314537,0.6007570821660736,0.5672334842931669,0.5765298627111342,0.60974008945439,0.832815724864263,0.8942296115729141,1.2148872913754414,0.7143887180349564,1.1632371281590825,0.8181283949276749,0.6710081854601212,0.8763890428614542
15,-27.485114097595215,0.6007360385465569,0.5672872051622802,0.5765635792649357,0.6097084917231358,0.8328351818646673,0.8943800836264784,1.215043618871564,0.7143838944769657,1.1632278045981546,0.8181261678133358,0.6708654464191772,0.8764575601455319
16,-27.485970616340637,0.6007492736781698,0.5674099736561763,0.5766224191690126,0.6097066536589111,0.8327874845903626,0.8946250717399687,1.21534084961377,0.714287537930154,1.1626511220314781,0.8181067029932616,0.670756897969589,0.8765967232393513
17,-27.488315522670746,0.6005701707214781,0.56744636624695,0.5766251484602644,0.6095952464755852,0.8325769576047568,0.8945906220427804,1.215228745727793,0.7143022107611211,1.1622154087429413,0.8178725357108098,0.6705313969470581,0.876315359625558
18,-27.494406312704086,0.6000596982106036,0.5677790267608555,0.5766836747568951,0.6090424218175878,0.8317471074946547,0.8946921340912785,1.2150821832823073,0.7143364516236703,1.160340265529755,0.8167458207645434,0.669140462840834,0.8750388791478485
19,-27.498031318187714,0.5996730488081347,0.5677518104158523,0.5764290279934171,0.6088143105733248,0.8305349068833306,0.8950040873401228,1.21541698687821,0.714589164541816,1.1581278878369525,0.815869412983238,0.66851454316842,0.8741744419700299
20,-27.498091727495193,0.5985760415708382,0.5678425412171817,0.5758377905998888,0.6086583354697266,0.8288090641626924,0.895422964388622,1.2166224027406092,0.7143907859777361,1.1546892120417638,0.8147960347428044,0.6681994354462849,0.8740062584544245
21,-27.502993673086166,0.598296097943636,0.5670773831598483,0.575409301644545,0.6090371608130122,0.8279379132119032,0.8950305517917437,1.2164671790492536,0.7139616373019081,1.1544166343099975,0.8148241189882138,0.6681961919299969,0.8744626043120743
22,-27.510010361671448,0.598273463336116,0.564361873862845,0.5741541454242112,0.610610130742068,0.8264672589906487,0.8933533210868555,1.2153073508139227,0.7126289545171819,1.156667497679129,0.8161086818089439,0.6689678916384435,0.8768039952930967
23,-27.5124149620533,0.5982335459057443,0.5650860726220852,0.5748101932039383,0.6102935690226408,0.8267555577407895,0.8936147948916682,1.2154231627819703,0.7132197179716249,1.1557970581049812,0.8155611644072345,0.6683124227885976,0.8763294797669067
24,-27.513049483299255,0.5981175308701908,0.5653296085390142,0.5752086555399372,0.6101579984669844,0.8267709253200768,0.8936860775228707,1.215875403841923,0.7129461669042835,1.1557025326732562,0.8153117940961735,0.6685046435555909,0.876270507125752
25,-27.51488897204399,0.597493474941172,0.5656237379174666,0.5764783841804078,0.6100443190685553,0.8262409251766745,0.8937176596980896,1.2171114739447042,0.7118815204972399,1.154921119409333,0.8142407042160953,0.6685529191695825,0.8770036284482704
26,-27.515357851982117,0.5962024229455299,0.5645977697785207,0.5777851290141761,0.610405487041561,0.8241931886567099,0.8930386608797486,1.2193195241524986,0.7093618108539627,1.153687063892943,0.8117222018748909,0.6688394930000564,0.8785774646075294
27,-27.537198096513748,0.5971781879260324,0.5623706140677716,0.5757846251022787,0.6119805214380575,0.8216510448146546,0.8924472656325573,1.2190608724225898,0.7083618551081492,1.1546775529374276,0.8108138371994973,0.6703562099525212,0.8810356280009647
28,-27.53844740986824,0.5977245398882441,0.5621376849277747,0.5748870293929953,0.6123159681000224,0.8215820410666489,0.8926872526117294,1.218379642426723,0.7086005870228193,1.155317727231146,0.8111101620493133,0.6706243289364581,0.8811503712593424
29,-27.538782089948654,0.5979653963739058,0.5618055511599847,0.5742944324699681,0.6126243871857295,0.8211393128212238,0.8927833146841339,1.2181666078251472,0.7085324144943645,1.1554695604845882,0.8110205160303635,0.6708525093814022,0.8815283710177951
30,-27.539892584085464,0.5981205469352988,0.5621173458434584,0.5742735495888117,0.6124665365901649,0.8212003745339543,0.8929101311114176,1.2182101789811537,0.7088035567982975,1.1550589439634873,0.8107563794441058,0.6707756415627429,0.8813552133518461
31,-27.542516887187958,0.598746909835612,0.5632099956780883,0.5744335970467191,0.612022357991449,0.8211957969180871,0.8932860031398216,1.218730226740182,0.7095703446572463,1.1535921017973212,0.809513604331198,0.6708928048616039,0.8812402954608056
32,-27.546456396579742,0.5994858626360432,0.563017951339392,0.5739203745550361,0.6123307090216162,0.8204234266526993,0.8931469990837856,1.2189873181225486,0.7093324283839408,1.1535761468722836,0.8083472065796492,0.6714307858513893,0.8820175391106472
33,-27.54838588833809,0.600049757723356,0.5631895187815561,0.5736900166052425,0.6123531504280852,0.8200966203209599,0.8931311422381025,1.2191980096810278,0.7092880184940733,1.153266913089942,0.8074300182644506,0.6717719115574068,0.8824221640995652
34,-27.549088567495346,0.5999757976061324,0.5630950972825086,0.573842855981509,0.6123537126588542,0.820218759645981,0.8928610725976356,1.219357803586554,0.7088692185325637,1.1534951194195826,0.8072325797216143,0.6717925927405182,0.8826289902698443
35,-27.55042400956154,0.6003416778707769,0.5626426129018792,0.5739461163248837,0.6125840758755571,0.8199563016130508,0.8917801929145153,1.2201205873216834,0.7072658435359345,1.154115446953959,0.805633990188677,0.6723244639735018,0.8840008283705225
36,-27.55042400956154,0.6003416778708766,0.5626426129016179,0.5739461163248192,0.6125840758756792,0.8199563016130387,0.8917801929141512,1.2201205873218484,0.7072658435353881,1.1541154469542345,0.8056339901882879,0.6723244639737064,0.8840008283708851
